id,name,condition,behavior,fnId,sourceLineStart,sourceLineEnd
af:polygraph-viz:src/client/ui/commands.ts:parseCommand:guard,early-return guard,!trimmed.startsWith('/'),early return,fn:polygraph-viz:src/client/ui/commands.ts:parseCommand,411,411
af:polygraph-viz:src/client/ui/commands.ts:parseCommand:guard-2,early-return guard,!spec,early return,fn:polygraph-viz:src/client/ui/commands.ts:parseCommand,415,415
af:polygraph-viz:src/client/ui/commands.ts:filterCommands:guard,early-return guard,p === '' || p === '/',early return,fn:polygraph-viz:src/client/ui/commands.ts:filterCommands,425,425
af:polygraph-viz:src/client/ui/inspector.ts:clearInspector:guard,early-return guard,!aside,early return,fn:polygraph-viz:src/client/ui/inspector.ts:clearInspector,25,25
af:polygraph-viz:src/client/ui/inspector.ts:showNode:guard,early-return guard,!aside,early return,fn:polygraph-viz:src/client/ui/inspector.ts:showNode,35,35
af:polygraph-viz:src/client/ui/inspector.ts:showGroup:guard,early-return guard,!aside,early return,fn:polygraph-viz:src/client/ui/inspector.ts:showGroup,64,64
af:polygraph-viz:src/client/ui/inspector.ts:pickDisplayName:guard,early-return guard,typeof candidate === 'string' && candidate.length > 0,early return,fn:polygraph-viz:src/client/ui/inspector.ts:pickDisplayName,100,102
af:polygraph-viz:src/client/ui/inspector.ts:showEdge:guard,early-return guard,!aside,early return,fn:polygraph-viz:src/client/ui/inspector.ts:showEdge,115,115
af:polygraph-viz:src/client/ui/inspector.ts:showAggregate:guard,early-return guard,!aside,early return,fn:polygraph-viz:src/client/ui/inspector.ts:showAggregate,161,161
af:polygraph-viz:src/client/ui/inspector.ts:nodeMatches:guard,early-return guard,!query,early return,fn:polygraph-viz:src/client/ui/inspector.ts:nodeMatches,210,210
af:polygraph-viz:src/client/ui/inspector.ts:nodeMatches:guard-2,early-return guard,node.id.toLowerCase().includes(q),early return,fn:polygraph-viz:src/client/ui/inspector.ts:nodeMatches,212,212
af:polygraph-viz:src/client/ui/inspector.ts:nodeMatches:guard-3,early-return guard,node.labels.some((l) => l.toLowerCase().includes(q)),early return,fn:polygraph-viz:src/client/ui/inspector.ts:nodeMatches,213,213
af:polygraph-viz:src/client/ui/inspector.ts:nodeMatches:guard-4,early-return guard,s.toLowerCase().includes(q),early return,fn:polygraph-viz:src/client/ui/inspector.ts:nodeMatches,217,217
af:polygraph-viz:src/client/ui/palette.ts:primaryLabel:guard,early-return guard,labels.length === 0,early return,fn:polygraph-viz:src/client/ui/palette.ts:primaryLabel,85,85
af:polygraph-viz:src/client/ui/stats.ts:renderStats:guard,early-return guard,!el,early return,fn:polygraph-viz:src/client/ui/stats.ts:renderStats,23,23
af:polygraph-viz:src/client/ui/stats.ts:renderStats:try,try/catch in fn,thrown error,el.textContent = `${_graph.metadata.nodeCount} nodes · ${_graph.metadata.edge...,fn:polygraph-viz:src/client/ui/stats.ts:renderStats,25,45
