fromId,toId,type,source
fn:polygraph-viz:src/client/ui/palette.ts:primaryLabel,af:polygraph-viz:src/client/ui/palette.ts:primaryLabel:guard,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.early_return:polygraph-viz:src/client/ui/palette.ts:primaryLabel:guard,af:polygraph-viz:src/client/ui/palette.ts:primaryLabel:guard,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/palette.ts,fn:polygraph-viz:src/client/ui/palette.ts:buildColorMap,DECLARES,sig-build/inventory.mts:112
cs_2026.fn:polygraph-viz:src/client/ui/palette.ts:buildColorMap,fn:polygraph-viz:src/client/ui/palette.ts:buildColorMap,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/palette.ts,fn:polygraph-viz:src/client/ui/palette.ts:colorForLabel,DECLARES,sig-build/inventory.mts:168
cs_2026.fn:polygraph-viz:src/client/ui/palette.ts:colorForLabel,fn:polygraph-viz:src/client/ui/palette.ts:colorForLabel,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/stats.ts,repo:polygraph-viz,LIVES_IN,sig-build/inventory.mts
cs_2026.file:polygraph-viz:src/client/ui/stats.ts,file:polygraph-viz:src/client/ui/stats.ts,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/stats.ts,fn:polygraph-viz:src/client/ui/stats.ts:renderStats,DECLARES,sig-build/inventory.mts:21
cs_2026.fn:polygraph-viz:src/client/ui/stats.ts:renderStats,fn:polygraph-viz:src/client/ui/stats.ts:renderStats,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/stats.ts:renderStats,af:polygraph-viz:src/client/ui/stats.ts:renderStats:guard,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.early_return:polygraph-viz:src/client/ui/stats.ts:renderStats:guard,af:polygraph-viz:src/client/ui/stats.ts:renderStats:guard,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/stats.ts:renderStats,af:polygraph-viz:src/client/ui/stats.ts:renderStats:try,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.try_catch:polygraph-viz:src/client/ui/stats.ts:renderStats:try,af:polygraph-viz:src/client/ui/stats.ts:renderStats:try,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/stats.ts:renderStats,co:polygraph-viz:src/client/ui/stats.ts:renderStats:http,EMITS_CALLOUT,sig-build/inventory.mts
cs_2026.fetch_call:polygraph-viz:src/client/ui/stats.ts:renderStats:http,co:polygraph-viz:src/client/ui/stats.ts:renderStats:http,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/theme.ts,repo:polygraph-viz,LIVES_IN,sig-build/inventory.mts
cs_2026.file:polygraph-viz:src/client/ui/theme.ts,file:polygraph-viz:src/client/ui/theme.ts,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/theme.ts,fn:polygraph-viz:src/client/ui/theme.ts:installTheme,DECLARES,sig-build/inventory.mts:43
cs_2026.fn:polygraph-viz:src/client/ui/theme.ts:installTheme,fn:polygraph-viz:src/client/ui/theme.ts:installTheme,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/theme.ts:installTheme,af:polygraph-viz:src/client/ui/theme.ts:installTheme:guard,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.early_return:polygraph-viz:src/client/ui/theme.ts:installTheme:guard,af:polygraph-viz:src/client/ui/theme.ts:installTheme:guard,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/theme.ts:installTheme,af:polygraph-viz:src/client/ui/theme.ts:installTheme:try,HAS_ALT_FLOW,sig-build/inventory.mts
cs_2026.try_catch:polygraph-viz:src/client/ui/theme.ts:installTheme:try,af:polygraph-viz:src/client/ui/theme.ts:installTheme:try,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/toolbar.ts,repo:polygraph-viz,LIVES_IN,sig-build/inventory.mts
cs_2026.file:polygraph-viz:src/client/ui/toolbar.ts,file:polygraph-viz:src/client/ui/toolbar.ts,REALIZES_FORM,sig-build/inventory.mts
file:polygraph-viz:src/client/ui/toolbar.ts,fn:polygraph-viz:src/client/ui/toolbar.ts:installToolbar,DECLARES,sig-build/inventory.mts:24
cs_2026.fn:polygraph-viz:src/client/ui/toolbar.ts:installToolbar,fn:polygraph-viz:src/client/ui/toolbar.ts:installToolbar,REALIZES_FORM,sig-build/inventory.mts
fn:polygraph-viz:src/client/ui/toolbar.ts:installToolbar,af:polygraph-viz:src/client/ui/toolbar.ts:installToolbar:guard,HAS_ALT_FLOW,sig-build/inventory.mts
